ID,HEADLINE,URL,V1,V2,V3,V4,V5,V6,V7,V8,V9,NOTES
1,Lawsuits mount for Seattle’s beleaguered special education program,http://seattletimes.com/html/localnews/2019484765_specialed21m.html,2,1,0,1,0,0,1,0,2,
2,Surging Enrollment blindsides Seattle schools,http://seattletimes.com/html/localnews/2016515476_enrollment16m.html,2,1,0,1,0,1,0,0,1,
3,Teach for America’s Rocky first year in Seattle,http://seattletimes.com/html/localnews/2017703919_tfa09m.html,1,1,0,0,0,0,0,0,1,"The problem here is vague - is it that TFA teachers are stealing jobs or that teacher unions are being irrationally critical of TFA teachers? This strikes me as a problem in defining ""Solutions Journalism"" - how do we know if a story has presented a solution if the problem is up for debate?"
4,Creative Approach Schools advance in Seattle despite issues,http://seattletimes.com/html/localnews/2017845837_creativeapproachschools27m.html,1,2,2,2,2,1,1,1,2,
5,Seattle Schools “Glass Palace” faces debt burden of $50 million,http://seattletimes.com/html/localnews/2017001813_johnstanford13m.html,2,1,0,1,1,0,1,0,1,
6,How Mercer Middle School soared after struggling\,http://seattletimes.com/html/localnews/2016936142_mercer05m.html,0,2,2,2,2,2,0,2,2,
7,Last chance high school: little-known program serves city’s hardest to teach,http://seattletimes.com/html/localnews/2018513097_lastchance24m.html,2,2,1,2,2,2,1,2,1,
8,"As parents raise cash, schools confront big gap",http://seattletimes.com/html/localnews/2017363624_ptafunding29m.html,2,1,0,1,1,1,1,1,2,
9,Seattle teachers union adopts softer strategy,http://seattletimes.com/html/localnews/2018604710_teachersunion05m.html,1,2,0,1,1,1,0,1,1,
10,Wanted in Seattle classrooms: more teachers of color,http://seattletimes.com/html/localnews/2017470322_teacherdiversity10m.html,2,2,0,1,1,1,0,1,2,
