ID,HEADLINE,URL,V1,V2,V3,V4,V5,V6,V7,V8,V9,NOTES
10,Wanted in Seattle classrooms: more teachers of color,http://seattletimes.com/html/localnews/2017470322_teacherdiversity10m.html,2,1,0,0,0,0,0,1,2,
11,Can rigorous academics help Rainier Beach?,http://seattletimes.com/html/localnews/2018096833_rainierbeachib29m.html,1,2,2,1,2,2,1,1,2,
12,Higher fees to play sports leaves kids on sidelines,http://seattletimes.com/html/localnews/2017186317_paytoplay08m.html,2,2,0,1,1,0,0,1,2,
13,State’s new math test may keep many seniors from graduating,http://seattletimes.com/html/education/2020738031_mathtestgraduationxml.html,0,1,0,0,0,0,0,0,2,These questions can be answered two ways depending on whether you consider MPA to be a solution or not. I think it isn't -- not everystory about a policy change implemented as a response to a problem is a solutions story. One person's solution is another person's problem. My definition of solutions stories is a bit narrower.
14,Educators debate validity of MAP testing,http://seattletimes.com/html/localnews/2020678255_maptestswebxml.html,1,0,0,0,0,0,0,0,2,
15,"Civil-rights reviews focus on several school districts, state",http://seattletimes.com/html/education/2020596643_civilrightsinvestigationsxml.html,0,0,0,0,0,0,0,0,2,
16,Seattle Schools may ask voters for more than $1B in February,http://seattletimes.com/html/localnews/2019458988_schoollevy18m.html,2,0,0,0,0,0,0,0,2,Keith asks whether the bond issue and construction plan are a response or solution -- I say no. It's a different category of story.
17,"Former foe now embraces charter schools, campaigns for I-1240",http://seattletimes.com/html/localnews/2019505755_macfarlane24m.html,0,1,1,0,0,2,2,1,2,
18,Academy in Federal Way district is similar to a charter school,http://seattletimes.com/html/localnews/2019398866_taf11m.html,0,2,1,1,2,2,1,1,2,"This one truly is a solutions story. It is a flawed one, though. I agree with Keith that it's missing detail and explanation."
19,Seattle Catholic school pins hopes on charter-style changes,http://seattletimes.com/html/localnews/2019061379_sttherese04m.html,1,2,2,2,2,1,1,1,2,
